feature,Q1,Q3,IQR,lower_fence,upper_fence,n_outliers,pct_outliers,min,max,decision
Annual Income,844341.0,1640137.0,795796.0,-349353.0,2833831.0,287,4.83,164597.0,10149344.0,правый хвост → log-трансформация
Tax Liens,0.0,0.0,0.0,0.0,0.0,134,1.79,0.0,7.0,"редкие события, правый хвост → оставляем"
Number of Open Accounts,8.0,14.0,6.0,-1.0,23.0,170,2.27,2.0,43.0,оставляем
Years of Credit History,13.5,21.8,8.3,1.05,34.25,228,3.04,4.0,57.7,оставляем
Maximum Open Credit,279229.5,793501.5,514272.0,-492178.5,1564909.5,466,6.21,0.0,1304726170.0,экстремальные значения → log-трансформация
Number of Credit Problems,0.0,0.0,0.0,0.0,0.0,1031,13.75,0.0,7.0,"реальные данные, оставляем"
Months since last delinquent,16.0,50.0,34.0,-35.0,101.0,1,0.03,0.0,118.0,54% NaN → заменён Has_Delinquent
Bankruptcies,0.0,0.0,0.0,0.0,0.0,826,11.03,0.0,4.0,коллинеарна с NCP → удалим
Current Loan Amount,172744.0,430100.0,257356.0,-213290.0,816134.0,0,0.0,11242.0,789030.0,"замена заглушки → NaN, log-трансформация"
Current Credit Balance,114256.5,360406.25,246149.75,-254968.12,729630.88,440,5.87,0.0,6506797.0,правый хвост → заменён Credit_Utilization
Monthly Debt,10067.5,23818.0,13750.5,-10558.25,44443.75,255,3.4,0.0,136679.0,правый хвост → оставляем
Credit Score,709.0,741.0,32.0,661.0,789.0,251,4.53,585.0,751.0,значения > 850 → NaN (вне FICO)
